code,,day,night
200,thunderstorm with light rain,11d,11n
201,thunderstorm with rain,11d,11n
202,thunderstorm with heavy rain,11d,11n
210,light thunderstorm,11d,11n
211,thunderstorm,11d,11n
212,heavy thunderstorm,11d,11n
221,ragged thunderstorm,11d,11n
230,thunderstorm with light drizzle,11d,11n
231,thunderstorm with drizzle,11d,11n
232,thunderstorm with heavy drizzle,11d,11n
300,light intensity drizzle,09d,09n
301,drizzle,09d,09n
302,heavy intensity drizzle,09d,09n
310,light intensity drizzle rain,09d,09n
311,drizzle rain,09d,09n
312,heavy intensity drizzle rain,09d,09n
313,shower rain and drizzle,09d,09n
314,heavy shower rain and drizzle,09d,09n
321,shower drizzle,09d,09n
500,light rain,10d,10n
501,moderate rain,10d,10n
502,heavy intensity rain,10d,10n
503,very heavy rain,10d,10n
504,extreme rain,10d,10n
511,freezing rain,13d,13n
520,light intensity shower rain,09d,09n
521,shower rain,09d,09n
522,heavy intensity shower rain,09d,09n
531,ragged shower rain,09d,09n
600,light snow,13d,13n
601,snow,13d,13n
602,heavy snow,13d,13n
611,sleet,13d,13n
612,shower sleet,13d,13n
615,light rain and snow,13d,13n
616,rain and snow,13d,13n
620,light shower snow,13d,13n
621,shower snow,13d,13n
622,heavy shower snow,13d,13n
701,mist,50d,50n
711,smoke,50d,50n
721,haze,50d,50n
731,"sand, dust whirls",50d,50n
741,fog,50d,50n
751,sand,50d,50n
761,dust,50d,50n
762,volcanic ash,50d,50n
771,squalls,50d,50n
781,tornado,50d,50n
800,clear sky,01d,01n
801,few clouds,02d,02n
802,scattered clouds,03d,03n
803,broken clouds,04d,04n
804,overcast clouds,04d,04n
